PASSENGERS_sum,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,stopover_frac,no_stopover_frac,stopovers_mean,stopover_airports,stopover_airports_clean,dist_calc
167.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.058064516129,0.941935483871,0.0645161290323,"set(['ABQ', 'LAX', 'ONT', 'SJC'])","['LAX', 'ONT', 'SJC']",670.549787066
69.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,0.805970149254,0.194029850746,0.835820895522,"set(['ABQ', 'PHX', 'LAX'])","['PHX', 'LAX']",743.108060803
14487.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.00308191403082,0.996918085969,0.00308191403082,"set(['LGB', 'ABQ', 'BUR', 'SAN', 'ONT'])","['LGB', 'BUR', 'SAN', 'ONT']",676.121908674
58.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,0.0,1.0,0.0,set(['ABQ']),[],663.182873232
3.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62409973,-118.8379974,1.0,0.0,1.0,set(['LAX']),['LAX'],703.467728259
54.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,0.0,1.0,0.0,set(['ABQ']),[],629.212274164
4.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.75,0.25,0.75,"set(['ABQ', 'LAX'])",['LAX'],570.250517504
6771.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.0404511863088,0.959548813691,0.0408401400233,"set(['ABQ', 'LAX', 'SFO'])","['LAX', 'SFO']",627.430281632
45.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,0.795454545455,0.204545454545,0.795454545455,"set(['ABQ', 'LAX'])",['LAX'],752.298989337
13.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,0.923076923077,0.0769230769231,0.923076923077,"set(['ABQ', 'LAX'])",['LAX'],792.741867877
152.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,0.0854700854701,0.91452991453,0.102564102564,"set(['ABQ', 'LAX', 'SAN', 'OAK', 'SJC'])","['LAX', 'SAN', 'OAK', 'SJC']",649.038661338
16.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,1.0,0.0,1.0,set(['SFO']),['SFO'],471.194586728
41.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,1.0,0.0,1.0,set(['SFO']),['SFO'],440.990439857
133.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.955752212389,0.0442477876106,0.955752212389,"set(['SFO', 'ACV'])",['SFO'],564.224448153
25.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,1.0,0.0,1.0,set(['SFO']),['SFO'],374.334028568
1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,FCA,Glacier Park International Airport,Kalispell,MT,48.31050109863281,-114.25599670410156,0.0,1.0,0.0,set(['ACV']),[],700.151222855
1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,JAC,Jackson Hole Airport,Jacksn Hole,WY,43.6072998046875,-110.73799896240234,1.0,0.0,1.0,set(['SFO']),['SFO'],706.586003305
204.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,0.988505747126,0.0114942528736,0.988505747126,"set(['SFO', 'ACV'])",['SFO'],590.475422764
523.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.992555831266,0.00744416873449,1.00992555831,"set(['BUR', 'SFO', 'PHX', 'ACV', 'LAS'])","['BUR', 'SFO', 'PHX', 'LAS']",577.952984011
1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,1.0,0.0,2.0,set(['PHX']),['PHX'],592.967283907
1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,MFR,Rogue Valley International Medford Airport,Medford,OR,42.37419891357422,-122.87300109863281,0.0,1.0,0.0,set(['ACV']),[],115.697624017
9.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,MRY,Monterey Peninsula Airport,Monterey,CA,36.58700180053711,-121.84300231933594,1.0,0.0,1.0,set(['SFO']),['SFO'],327.151928882
152.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,1.0,0.0,1.03125,"set(['SFO', 'PHX', 'LAX'])","['SFO', 'PHX', 'LAX']",596.507391678
18.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,0.166666666667,0.833333333333,0.166666666667,"set(['SFO', 'ACV'])",['SFO'],327.646904383
3.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PSC,Tri Cities Airport,Pasco,WA,46.26470184326172,-119.11900329589844,1.0,0.0,1.0,set(['SFO']),['SFO'],442.409573324
46.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.931818181818,0.0681818181818,0.954545454545,"set(['SFO', 'LAX', 'ACV'])","['SFO', 'LAX']",646.322299371
1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RDM,Roberts Field,Redmond-Bend,OR,44.2541008,-121.1500015,1.0,0.0,1.0,set(['SFO']),['SFO'],271.882033934
25.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RNO,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,0.96,0.04,0.96,"set(['SFO', 'ACV'])",['SFO'],250.813134385
405.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.988165680473,0.0118343195266,1.01183431953,"set(['SBP', 'SNA', 'FAT', 'SFO', 'LAX', 'ACV'])","['SBP', 'SNA', 'FAT', 'SFO', 'LAX']",685.953033594
81.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,1.0,0.0,1.01538461538,set(['SFO']),['SFO'],509.387127516
30.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,1.0,0.0,1.10344827586,"set(['SFO', 'LAX', 'MRY'])","['SFO', 'LAX', 'MRY']",439.306174452
125.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,0.975,0.025,0.975,"set(['SFO', 'ACV', 'SMF'])","['SFO', 'SMF']",456.08607278
3544.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.00193986420951,0.99806013579,0.00193986420951,"set(['RDD', 'ACV', 'MRY', 'PDX'])","['RDD', 'MRY', 'PDX']",250.033336709
77.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,1.0,0.0,1.0,"set(['SFO', 'LAX'])","['SFO', 'LAX']",633.636018271
59.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,0.982142857143,0.0178571428571,0.982142857143,"set(['SFO', 'ACV'])",['SFO'],206.775646704
4.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA,34.89889908,-120.4570007,1.0,0.0,1.0,set(['SFO']),['SFO'],464.902362387
259.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,0.995594713656,0.00440528634361,1.01321585903,"set(['BUR', 'SFO', 'LAX', 'ACV', 'ONT'])","['BUR', 'SFO', 'LAX', 'ONT']",609.945558624
3.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,1.0,0.0,1.0,set(['LAX']),['LAX'],719.392108233
2881.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.000629326620516,0.999370673379,0.00188797986155,"set(['SFO', 'ASE'])",['SFO'],736.381350248
1.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62409973,-118.8379974,1.0,0.0,2.0,set(['SFO']),['SFO'],657.054767747
5.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.6,0.4,1.0,"set(['SFO', 'LAX', 'ASE'])","['SFO', 'LAX']",651.805149106
115.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.980392156863,0.0196078431373,0.990196078431,"set(['SFO', 'LAX', 'ASE'])","['SFO', 'LAX']",730.320898431
32.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,1.0,0.0,1.0,set(['LAX']),['LAX'],789.634706017
3.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,1.0,0.0,1.33333333333,"set(['SFO', 'LAX'])","['SFO', 'LAX']",791.323190245
1.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,1.0,0.0,1.0,set(['LAX']),['LAX'],721.066360815
823.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,0.0,1.0,0.0,set(['AZA']),[],515.230512789
2127.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.0,1.0,0.0,set(['AZA']),[],667.653457202
1492.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,SCK,Stockton Metropolitan Airport,Stockton,CA,37.894199371338,-121.2379989624,0.0,1.0,0.0,set(['AZA']),[],624.515861988
481.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,CA,38.50899887,-122.8130035,0.0,1.0,0.0,set(['AZA']),[],720.040657003
16.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,1.0,0.0,1.0,set(['SFO']),['SFO'],471.194586728
74.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,1.0,0.0,1.0,set(['SFO']),['SFO'],581.93482864
2.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.0,1.0,0.0,set(['BFL']),[],93.982873402
1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,DRO,Durango La Plata County Airport,Durango,CO,37.1515007019,-107.753997803,0.0,1.0,0.0,set(['BFL']),[],640.457491519
46.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,EUG,Mahlon Sweet Field,Eugene,OR,44.12459945678711,-123.21199798583984,1.0,0.0,1.02222222222,set(['SFO']),['SFO'],639.823731345
6.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,0.0,1.0,0.0,set(['BFL']),[],99.8826974672
1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,GJT,Grand Junction Regional Airport,Grand Junction,CO,39.1223983765,-108.527000427,0.0,1.0,0.0,set(['BFL']),[],632.327705948
1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,JAC,Jackson Hole Airport,Jacksn Hole,WY,43.6072998046875,-110.73799896240234,1.0,0.0,1.0,set(['SFO']),['SFO'],717.558336638
9.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,0.222222222222,0.777777777778,0.222222222222,"set(['SFO', 'BFL'])",['SFO'],223.555266387
49.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.1875,0.8125,0.1875,"set(['SBP', 'PHX', 'BFL'])","['SBP', 'PHX']",109.477781967
21.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,MFR,Rogue Valley International Medford Airport,Medford,OR,42.37419891357422,-122.87300109863281,1.0,0.0,1.0,set(['SFO']),['SFO'],521.706734055
6.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,0.0,1.0,0.0,set(['BFL']),[],126.126220644
121.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,1.0,0.0,1.00884955752,"set(['SFO', 'FAT', 'SMF'])","['SFO', 'FAT', 'SMF']",726.044310816
4395.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,0.00815789473684,0.991842105263,0.00815789473684,"set(['SAN', 'SNA', 'LGB', 'BFL', 'SFO', 'ONT'])","['SAN', 'SNA', 'LGB', 'SFO', 'ONT']",424.659627064
8.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PSC,Tri Cities Airport,Pasco,WA,46.26470184326172,-119.11900329589844,1.0,0.0,1.0,set(['SFO']),['SFO'],748.735162349
2.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.0,1.0,0.0,set(['BFL']),[],182.55427502
4.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,1.0,0.0,1.0,set(['SFO']),['SFO'],392.5972431
13.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,RDM,Roberts Field,Redmond-Bend,OR,44.2541008,-121.1500015,1.0,0.0,1.0,set(['SFO']),['SFO'],619.715695899
1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,RIW,Riverton Regional Airport,Riverton WY,WY,43.064201355,-108.459999084,0.0,1.0,0.0,set(['BFL']),[],773.470849222
20.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,RNO,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,0.95,0.05,0.95,"set(['SFO', 'BFL'])",['SFO'],283.729698763
7.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.0,1.0,0.0,set(['BFL']),[],215.073417956
1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,0.0,1.0,0.0,set(['BFL']),[],90.4113373966
1078.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.00410256410256,0.995897435897,0.00410256410256,"set(['SMF', 'FAT', 'BFL'])","['SMF', 'FAT']",238.285733452
3.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,0.0,1.0,0.0,set(['BFL']),[],208.111156023
65.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,0.984126984127,0.015873015873,0.984126984127,"set(['SFO', 'BFL'])",['SFO'],533.753107587
34.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,0.911764705882,0.0882352941176,0.911764705882,"set(['SFO', 'PHX', 'BFL'])","['SFO', 'PHX']",265.261796103
14.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,0.0,1.0,0.0,set(['BFL']),[],139.098482664
5.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,TUS,Tucson International Airport,Tucson,AZ,32.1161003112793,-110.94100189208984,1.0,0.0,1.2,"set(['SFO', 'LAX'])","['SFO', 'LAX']",519.444049342
3121.0,BLI,Bellingham International Airport,Bellingham,WA,48.79280090332031,-122.53800201416016,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.0,1.0,0.0,set(['BLI']),[],765.511124354
38.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,1.0,0.0,1.0,set(['SFO']),['SFO'],440.990439857
73.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,1.0,0.0,1.015625,set(['SFO']),['SFO'],581.93482864
895.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.849802371542,0.150197628458,0.849802371542,"set(['SAN', 'BOI', 'OAK', 'SFO', 'LAX', 'SMF'])","['SAN', 'OAK', 'SFO', 'LAX', 'SMF']",657.349794619
169.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,0.993464052288,0.00653594771242,1.01307189542,"set(['SFO', 'LAX', 'SAN', 'BOI'])","['SFO', 'LAX', 'SAN']",504.133530727
5844.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.177757793765,0.822242206235,0.179556354916,"set(['SBP', 'SAN', 'SFO', 'OAK', 'FAT', 'BOI', 'SMF', 'SJC'])","['SBP', 'SAN', 'SFO', 'OAK', 'FAT', 'SMF', 'SJC']",675.41697334
47.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,0.953488372093,0.046511627907,0.953488372093,"set(['BOI', 'LAX', 'OAK'])","['LAX', 'OAK']",681.701460698
4.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62409973,-118.8379974,1.0,0.0,1.0,set(['SFO']),['SFO'],432.909010826
21.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,MRY,Monterey Peninsula Airport,Monterey,CA,36.58700180053711,-121.84300231933594,1.0,0.0,1.04761904762,"set(['SFO', 'LAX', 'SAN'])","['SFO', 'LAX', 'SAN']",566.255548345
3768.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.0201384518565,0.979861548143,0.0220264317181,"set(['SNA', 'BOI', 'SFO', 'LAX', 'SMF', 'SJC'])","['SNA', 'SFO', 'LAX', 'SMF', 'SJC']",511.681981605
1066.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,0.836236933798,0.163763066202,0.837398373984,"set(['SAN', 'BOI', 'OAK', 'SFO', 'LAX', 'SMF'])","['SAN', 'OAK', 'SFO', 'LAX', 'SMF']",661.442763075
143.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.992424242424,0.00757575757576,1.01515151515,"set(['SFO', 'LAX', 'SAN', 'BOI'])","['SFO', 'LAX', 'SAN']",673.109793234
48.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,1.0,0.0,1.02127659574,set(['SFO']),['SFO'],376.317393623
3723.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.440996325031,0.559003674969,0.442221314822,"set(['SFO', 'SNA', 'OAK', 'FAT', 'BOI', 'LAX', 'SJC', 'SMF', 'ONT', 'LAS'])","['SFO', 'SNA', 'OAK', 'FAT', 'LAX', 'SJC', 'SMF', 'ONT', 'LAS']",750.534918671
194.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,0.994382022472,0.00561797752809,0.994382022472,"set(['SFO', 'LAX', 'BOI'])","['SFO', 'LAX']",660.732304813
118.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,1.0,0.0,1.01769911504,"set(['SFO', 'LAX', 'FAT'])","['SFO', 'LAX', 'FAT']",621.935199808
3600.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.0237812128419,0.976218787158,0.0249702734839,"set(['SAN', 'SNA', 'OAK', 'BOI', 'LAX', 'SJC', 'SMF'])","['SAN', 'SNA', 'OAK', 'LAX', 'SJC', 'SMF']",522.36040579
2350.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,0.0614389652385,0.938561034762,0.0614389652385,"set(['SFO', 'BOI', 'LAX', 'SMF'])","['SFO', 'LAX', 'SMF']",523.015716937
3929.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,0.056270096463,0.943729903537,0.0584137191854,"set(['SFO', 'SNA', 'OAK', 'FAT', 'BOI', 'LAX', 'SJC'])","['SFO', 'SNA', 'OAK', 'FAT', 'LAX', 'SJC']",437.298761227
52.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA,34.89889908,-120.4570007,1.0,0.0,1.0,"set(['SFO', 'LAX'])","['SFO', 'LAX']",640.255261337
1682.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,0.775798069785,0.224201930215,0.779510022272,"set(['RNO', 'SAN', 'BOI', 'BUR', 'OAK', 'SFO', 'LAX', 'SJC', 'SMF'])","['RNO', 'SAN', 'BUR', 'OAK', 'SFO', 'LAX', 'SJC', 'SMF']",689.290029533
106.0,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,0.0729166666667,0.927083333333,0.0833333333333,"set(['BUR', 'LAX', 'SAN'])","['LAX', 'SAN']",670.549787066
143.0,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,1.0,0.0,1.0081300813,set(['SFO']),['SFO'],564.224448153
1.0,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,0.0,1.0,0.0,set(['BUR']),[],93.982873402
995.0,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,0.74765258216,0.25234741784,0.75,"set(['BUR', 'SFO', 'LAX', 'OAK', 'SMF'])","['SFO', 'LAX', 'OAK', 'SMF']",657.349794619
